id,name,sex,age,team,noc,year,season,city,sport,event,medal
33,John Doe,F,33,FRA,BRA,2008,Summer,London,Boxing,Marathon,
34,Liu Wei,F,39,UKR,UKR,2020,Winter,Rio,Athletics,Marathon,
35,Liu Wei,M,34,UKR,CAN,2020,Winter,Athens,Cycling,100m freestyle,Gold
36,Tom Lee,M,22,USA,USA,2008,Winter,Beijing,Rowing,Double Sculls,Gold
37,Maria Ivanova,F,29,GER,CHN,2004,Summer,London,Athletics,100m freestyle,
38,Carlos Gomez,F,28,GER,FRA,2000,Winter,Athens,Athletics,Double Sculls,Bronze
39,Carlos Gomez,M,32,BRA,GER,2016,Summer,Rio,Athletics,Double Sculls,Bronze
40,Tom Lee,M,20,USA,UKR,2016,Summer,London,Swimming,100m freestyle,
41,Kate Novak,M,18,CAN,CHN,2000,Summer,Athens,Judo,Double Sculls,Silver
42,Kate Novak,M,37,GER,CHN,2004,Summer,Athens,Athletics,Marathon,Silver
43,Tom Lee,F,33,USA,CAN,2016,Summer,Athens,Athletics,100m freestyle,
44,Kate Novak,M,19,USA,GER,2008,Summer,Tokyo,Cycling,Double Sculls,Bronze
45,Liu Wei,M,19,FRA,CHN,2000,Summer,Beijing,Cycling,Lightweight Boxing,Gold
46,Carlos Gomez,M,20,BRA,CAN,2012,Summer,London,Boxing,100m freestyle,Gold
47,Tom Lee,M,25,USA,USA,2004,Summer,London,Boxing,Judo -60kg,Gold
48,Carlos Gomez,F,32,UKR,CAN,2000,Summer,London,Cycling,100m freestyle,
49,John Doe,F,24,UKR,USA,2016,Winter,Athens,Judo,100m freestyle,Silver
50,Liu Wei,F,23,CHN,USA,2004,Summer,Beijing,Boxing,100m freestyle,Gold
51,Anna Schmidt,M,26,BRA,FRA,2008,Summer,Rio,Rowing,Double Sculls,
52,Liu Wei,M,37,FRA,FRA,2004,Summer,London,Rowing,100m freestyle,Gold
53,Tom Lee,F,18,CAN,CHN,2004,Summer,Beijing,Judo,Judo -60kg,Gold
54,Anna Schmidt,M,25,CHN,CAN,2008,Summer,Beijing,Cycling,Sprint,Gold
55,John Doe,M,20,UKR,FRA,2020,Summer,Tokyo,Boxing,100m freestyle,Gold
56,Tom Lee,F,21,FRA,USA,2008,Winter,London,Athletics,Lightweight Boxing,Silver
57,Maria Ivanova,F,32,CHN,FRA,2004,Summer,Athens,Cycling,Judo -60kg,
58,Carlos Gomez,F,23,BRA,GER,2008,Summer,Beijing,Boxing,Sprint,
59,John Doe,F,32,FRA,CHN,2020,Summer,Beijing,Judo,Double Sculls,Silver
60,Carlos Gomez,M,38,BRA,CAN,2000,Winter,Rio,Rowing,100m freestyle,Silver
61,Kate Novak,M,20,USA,CAN,2008,Summer,Tokyo,Judo,Sprint,Bronze
62,Maria Ivanova,F,38,GER,BRA,2008,Summer,Beijing,Boxing,Lightweight Boxing,Gold
63,Maria Ivanova,M,38,USA,CAN,2004,Summer,Beijing,Judo,Judo -60kg,Gold
64,John Doe,F,31,BRA,CHN,2000,Summer,Athens,Boxing,Judo -60kg,
65,Maria Ivanova,F,37,FRA,GER,2012,Summer,Athens,Boxing,Double Sculls,Gold
66,Anna Schmidt,M,31,UKR,CAN,2012,Summer,Rio,Judo,Double Sculls,Gold
67,Maria Ivanova,F,21,CAN,BRA,2016,Summer,Rio,Swimming,Double Sculls,Silver
68,Carlos Gomez,M,29,UKR,CHN,2008,Summer,Rio,Athletics,Sprint,Silver
69,Carlos Gomez,M,34,FRA,USA,2008,Summer,Athens,Cycling,100m freestyle,Gold
70,Tom Lee,M,24,USA,UKR,2000,Summer,Athens,Rowing,Marathon,Gold
71,Carlos Gomez,M,26,CAN,UKR,2020,Summer,Tokyo,Athletics,Judo -60kg,Silver
72,Tom Lee,F,20,FRA,USA,2012,Summer,London,Cycling,Marathon,Bronze
73,Carlos Gomez,M,30,BRA,FRA,2016,Winter,London,Cycling,Judo -60kg,Gold
74,Anna Schmidt,F,32,UKR,CAN,2000,Winter,Tokyo,Rowing,Double Sculls,Silver
75,Tom Lee,F,35,BRA,UKR,2008,Summer,London,Athletics,100m freestyle,Bronze
76,Liu Wei,F,36,CAN,FRA,2012,Summer,Athens,Rowing,100m freestyle,
77,Kate Novak,F,18,CAN,UKR,2016,Summer,London,Boxing,Judo -60kg,Silver
78,John Doe,M,23,UKR,USA,2004,Summer,Athens,Rowing,Sprint,Gold
79,Carlos Gomez,M,19,BRA,CAN,2012,Summer,Tokyo,Judo,Double Sculls,Silver
80,Maria Ivanova,F,31,CHN,CAN,2016,Winter,Rio,Swimming,100m freestyle,Bronze
81,Carlos Gomez,F,23,BRA,FRA,2000,Summer,Tokyo,Swimming,100m freestyle,Gold
82,Maria Ivanova,M,31,CAN,USA,2004,Summer,London,Swimming,Lightweight Boxing,Silver
83,Kate Novak,F,21,BRA,FRA,2016,Summer,Athens,Athletics,100m freestyle,Gold
84,Kate Novak,M,38,FRA,CAN,2016,Summer,London,Athletics,Lightweight Boxing,Gold
85,Kate Novak,F,25,USA,CAN,2008,Summer,London,Boxing,100m freestyle,Silver
86,Maria Ivanova,M,20,CHN,CHN,2020,Summer,Rio,Swimming,100m freestyle,Silver
87,Carlos Gomez,F,36,GER,FRA,2012,Summer,London,Boxing,Sprint,
88,Kate Novak,F,31,FRA,CHN,2008,Winter,Rio,Swimming,Sprint,Bronze
89,Anna Schmidt,M,37,USA,USA,2004,Summer,Athens,Athletics,Double Sculls,Silver
90,Tom Lee,F,34,GER,GER,2020,Winter,Athens,Judo,100m freestyle,Silver
91,Maria Ivanova,F,25,UKR,UKR,2016,Winter,Rio,Judo,Double Sculls,Silver
92,Maria Ivanova,M,31,GER,CHN,2008,Summer,Tokyo,Judo,Double Sculls,Gold
93,Carlos Gomez,F,23,FRA,UKR,2020,Summer,Athens,Rowing,Double Sculls,
94,Maria Ivanova,M,39,BRA,BRA,2012,Summer,Tokyo,Judo,Double Sculls,
95,Maria Ivanova,M,33,FRA,USA,2004,Winter,Athens,Cycling,Judo -60kg,Gold
96,Kate Novak,F,36,GER,GER,2000,Summer,Athens,Swimming,Judo -60kg,Gold
97,Carlos Gomez,F,31,CAN,BRA,2008,Summer,Beijing,Judo,100m freestyle,Gold
98,Kate Novak,F,36,USA,BRA,2004,Summer,London,Cycling,Judo -60kg,Bronze
99,Tom Lee,F,20,USA,CAN,2000,Summer,London,Cycling,100m freestyle,Bronze
100,Tom Lee,F,27,GER,BRA,2008,Winter,Tokyo,Cycling,Sprint,
101,Kate Novak,F,36,USA,USA,2004,Summer,London,Boxing,Marathon,
102,Tom Lee,F,26,CAN,CHN,2004,Summer,Tokyo,Boxing,Lightweight Boxing,Silver
103,Carlos Gomez,M,37,FRA,USA,2020,Summer,Athens,Cycling,Judo -60kg,Bronze
104,John Doe,F,30,USA,CHN,2008,Winter,Beijing,Rowing,Judo -60kg,Bronze
105,Kate Novak,M,24,GER,BRA,2004,Summer,Beijing,Judo,Sprint,Bronze
106,Anna Schmidt,F,31,CHN,BRA,2016,Summer,Athens,Swimming,Judo -60kg,Silver
107,Anna Schmidt,F,26,CHN,GER,2008,Summer,Rio,Rowing,100m freestyle,Bronze
108,Maria Ivanova,M,36,UKR,CHN,2004,Summer,Rio,Athletics,100m freestyle,Bronze
109,Tom Lee,F,32,USA,BRA,2020,Summer,London,Boxing,Marathon,Bronze
110,Anna Schmidt,F,37,FRA,CAN,2000,Summer,Tokyo,Judo,Marathon,Bronze
111,Maria Ivanova,M,31,GER,UKR,2000,Summer,Beijing,Judo,Marathon,Bronze
112,John Doe,F,23,USA,GER,2016,Summer,London,Athletics,100m freestyle,Bronze
113,Carlos Gomez,F,38,BRA,USA,2008,Summer,Athens,Athletics,Double Sculls,Bronze
114,Carlos Gomez,F,21,CAN,GER,2020,Summer,Beijing,Judo,Double Sculls,Bronze
115,Carlos Gomez,M,25,USA,UKR,2004,Summer,Tokyo,Athletics,Marathon,Silver
116,Anna Schmidt,F,34,USA,CHN,2004,Winter,Tokyo,Judo,Marathon,Gold
117,John Doe,F,26,CHN,USA,2000,Winter,Rio,Rowing,100m freestyle,Gold
118,Anna Schmidt,F,18,CAN,USA,2020,Summer,London,Athletics,Sprint,Bronze
119,Tom Lee,F,37,GER,CHN,2016,Summer,Athens,Rowing,Judo -60kg,Bronze
120,Anna Schmidt,M,31,USA,FRA,2000,Summer,Beijing,Rowing,Lightweight Boxing,
121,John Doe,M,28,CHN,FRA,2000,Summer,Tokyo,Athletics,Double Sculls,Silver
122,John Doe,F,38,UKR,GER,2016,Summer,Beijing,Judo,Double Sculls,Silver
123,Tom Lee,F,20,CAN,BRA,2008,Summer,Athens,Cycling,100m freestyle,Gold
124,John Doe,M,26,CHN,FRA,2004,Summer,Beijing,Judo,100m freestyle,Gold
125,John Doe,M,31,CHN,GER,2008,Winter,London,Swimming,Lightweight Boxing,
126,Carlos Gomez,F,26,FRA,FRA,2020,Summer,Rio,Athletics,Lightweight Boxing,Gold
127,Tom Lee,M,21,CHN,UKR,2012,Summer,Beijing,Boxing,Marathon,Bronze
128,Liu Wei,F,21,FRA,CAN,2012,Summer,Rio,Athletics,Lightweight Boxing,Bronze
129,Liu Wei,M,25,USA,BRA,2012,Summer,Athens,Swimming,Judo -60kg,Silver
130,John Doe,M,19,USA,GER,2016,Summer,Rio,Rowing,Judo -60kg,
131,Liu Wei,M,26,UKR,CAN,2000,Summer,Beijing,Boxing,Double Sculls,Silver
132,Liu Wei,M,31,BRA,CAN,2008,Summer,Beijing,Boxing,Judo -60kg,Silver
133,John Doe,F,39,BRA,FRA,2004,Summer,Tokyo,Judo,Judo -60kg,
134,Liu Wei,M,26,BRA,CHN,2012,Winter,Beijing,Cycling,Judo -60kg,
135,Anna Schmidt,M,33,FRA,UKR,2008,Summer,Rio,Judo,Marathon,Gold
136,Maria Ivanova,F,34,CAN,UKR,2012,Summer,Tokyo,Boxing,Double Sculls,Gold
137,Tom Lee,M,33,CAN,UKR,2012,Summer,Beijing,Boxing,100m freestyle,Gold
138,Maria Ivanova,M,29,UKR,BRA,2004,Summer,Beijing,Cycling,Double Sculls,Silver
139,John Doe,F,20,CAN,USA,2020,Summer,Athens,Athletics,Double Sculls,
140,Carlos Gomez,M,28,BRA,BRA,2020,Summer,Tokyo,Cycling,Double Sculls,Bronze
141,Tom Lee,F,31,BRA,GER,2020,Winter,Athens,Rowing,Lightweight Boxing,Silver
142,John Doe,F,35,CHN,CAN,2016,Winter,Athens,Judo,100m freestyle,
143,Carlos Gomez,F,38,CAN,CAN,2000,Summer,Athens,Athletics,Lightweight Boxing,Silver
144,Maria Ivanova,F,38,USA,USA,2016,Winter,London,Judo,Marathon,Silver
145,John Doe,M,22,USA,GER,2008,Summer,Athens,Cycling,Marathon,
146,Tom Lee,F,33,CHN,USA,2016,Summer,Rio,Athletics,Sprint,
147,Tom Lee,M,37,CHN,CAN,2008,Summer,Beijing,Cycling,Sprint,
148,Kate Novak,M,22,CHN,FRA,2008,Winter,London,Rowing,Marathon,Bronze
149,Anna Schmidt,M,20,USA,BRA,2000,Summer,Athens,Swimming,Marathon,
150,Liu Wei,M,29,BRA,UKR,2004,Summer,Beijing,Boxing,Lightweight Boxing,Gold
151,Carlos Gomez,M,18,CHN,CAN,2000,Summer,Tokyo,Athletics,Marathon,Bronze
152,Kate Novak,M,38,UKR,CHN,2020,Summer,Tokyo,Boxing,100m freestyle,
153,Liu Wei,M,26,FRA,UKR,2020,Summer,Beijing,Swimming,Lightweight Boxing,Silver
154,Liu Wei,M,26,CHN,CAN,2016,Winter,Rio,Athletics,Marathon,
155,John Doe,M,21,FRA,BRA,2008,Summer,Beijing,Boxing,Lightweight Boxing,Silver
156,Liu Wei,M,20,GER,USA,2012,Summer,Beijing,Boxing,Lightweight Boxing,Gold
157,Anna Schmidt,F,34,CHN,FRA,2012,Summer,London,Athletics,Judo -60kg,
158,Tom Lee,F,19,USA,FRA,2008,Summer,Tokyo,Boxing,Sprint,Gold
159,Kate Novak,F,18,CAN,UKR,2000,Summer,Tokyo,Boxing,Lightweight Boxing,Bronze
160,Liu Wei,M,25,CHN,BRA,2004,Summer,Athens,Athletics,Double Sculls,Gold
161,John Doe,F,30,CAN,FRA,2000,Summer,Beijing,Boxing,Lightweight Boxing,
162,Anna Schmidt,F,32,GER,FRA,2008,Summer,Beijing,Boxing,Double Sculls,Silver
163,Maria Ivanova,F,25,UKR,GER,2008,Summer,Rio,Judo,Judo -60kg,Gold
164,Tom Lee,M,29,CAN,CHN,2004,Summer,Tokyo,Rowing,Marathon,Gold
165,Tom Lee,M,39,FRA,UKR,2016,Summer,Rio,Judo,Lightweight Boxing,
166,Kate Novak,M,29,BRA,USA,2016,Summer,London,Swimming,Judo -60kg,Bronze
167,Tom Lee,M,31,CHN,FRA,2004,Winter,Athens,Judo,100m freestyle,Bronze
168,Liu Wei,F,32,GER,GER,2016,Summer,Rio,Judo,Judo -60kg,Silver
169,John Doe,F,32,GER,BRA,2012,Summer,Tokyo,Swimming,Sprint,Silver
170,Tom Lee,F,26,CAN,FRA,2016,Summer,London,Boxing,Sprint,Gold
171,Tom Lee,F,36,UKR,CHN,2016,Summer,Beijing,Boxing,Marathon,Bronze
172,Maria Ivanova,M,37,USA,USA,2016,Winter,London,Judo,Double Sculls,Gold
173,Maria Ivanova,M,39,CHN,BRA,2012,Summer,Rio,Swimming,Marathon,
174,Carlos Gomez,M,25,GER,BRA,2016,Summer,Tokyo,Boxing,Double Sculls,
175,Anna Schmidt,F,38,UKR,UKR,2020,Summer,Rio,Cycling,Double Sculls,Silver
176,Liu Wei,M,36,BRA,FRA,2012,Summer,Beijing,Athletics,Double Sculls,Gold
177,Tom Lee,M,23,GER,UKR,2004,Winter,Beijing,Athletics,Double Sculls,
178,Tom Lee,F,37,UKR,USA,2000,Summer,Tokyo,Rowing,Sprint,Gold
179,John Doe,F,36,USA,FRA,2004,Summer,Athens,Athletics,Sprint,Gold
180,Carlos Gomez,M,21,USA,CAN,2000,Summer,London,Judo,Lightweight Boxing,Gold
181,Anna Schmidt,M,24,GER,FRA,2004,Summer,London,Athletics,Sprint,Bronze
182,Carlos Gomez,M,21,FRA,CAN,2020,Winter,Beijing,Athletics,Marathon,
183,Kate Novak,M,39,GER,BRA,2000,Summer,Rio,Cycling,Sprint,Silver
184,Anna Schmidt,M,29,CAN,UKR,2000,Summer,Rio,Boxing,Marathon,Gold
185,Tom Lee,M,30,CHN,CHN,2008,Summer,Athens,Cycling,100m freestyle,Silver
186,Tom Lee,F,20,UKR,FRA,2000,Summer,Rio,Judo,Sprint,Bronze
187,Anna Schmidt,F,39,GER,CHN,2000,Summer,London,Athletics,Marathon,Gold
188,Tom Lee,F,29,CHN,FRA,2008,Summer,Rio,Boxing,Double Sculls,Gold
189,Liu Wei,M,19,CAN,BRA,2016,Summer,Athens,Rowing,Judo -60kg,
190,Anna Schmidt,F,19,CHN,UKR,2016,Summer,London,Rowing,Double Sculls,
191,Carlos Gomez,M,26,GER,USA,2008,Summer,Rio,Athletics,Lightweight Boxing,
192,Anna Schmidt,M,18,USA,USA,2012,Winter,London,Athletics,Marathon,
193,Tom Lee,F,25,UKR,USA,2000,Summer,Beijing,Rowing,Double Sculls,Gold
194,Liu Wei,M,23,UKR,FRA,2000,Summer,Beijing,Rowing,Sprint,Gold
195,Liu Wei,M,23,USA,FRA,2008,Summer,Beijing,Judo,Sprint,Silver
196,Kate Novak,F,39,FRA,CHN,2008,Summer,Rio,Athletics,100m freestyle,Silver
197,Carlos Gomez,F,35,GER,UKR,2012,Summer,Athens,Rowing,Judo -60kg,
198,Maria Ivanova,F,34,UKR,FRA,2020,Winter,London,Swimming,Marathon,
199,Maria Ivanova,M,29,GER,UKR,2016,Summer,Tokyo,Rowing,Double Sculls,Bronze
200,Anna Schmidt,F,23,CAN,CHN,2004,Summer,Beijing,Boxing,Judo -60kg,Gold
201,Kate Novak,F,25,GER,FRA,2020,Summer,Beijing,Boxing,100m freestyle,
202,John Doe,M,36,CHN,USA,2016,Summer,Tokyo,Swimming,Lightweight Boxing,
203,Anna Schmidt,F,27,USA,USA,2000,Summer,Tokyo,Judo,Judo -60kg,Gold
204,Kate Novak,F,18,FRA,BRA,2020,Summer,Rio,Athletics,100m freestyle,
205,Carlos Gomez,F,30,GER,CAN,2008,Summer,London,Athletics,Marathon,Silver
206,Carlos Gomez,M,34,FRA,GER,2012,Summer,Beijing,Rowing,Lightweight Boxing,Gold
207,Carlos Gomez,M,20,FRA,CAN,2016,Summer,Athens,Boxing,Sprint,Bronze
208,Carlos Gomez,M,25,CAN,FRA,2012,Summer,Rio,Judo,100m freestyle,Bronze
209,Carlos Gomez,M,31,BRA,UKR,2016,Summer,Rio,Judo,Sprint,Gold
210,Kate Novak,F,20,USA,FRA,2020,Summer,Athens,Judo,Lightweight Boxing,Silver
211,Kate Novak,M,33,FRA,UKR,2000,Summer,Athens,Rowing,100m freestyle,
212,Liu Wei,M,30,UKR,UKR,2004,Summer,Athens,Athletics,100m freestyle,Bronze
213,Maria Ivanova,F,37,CHN,CAN,2012,Summer,Tokyo,Judo,Lightweight Boxing,Bronze
214,Tom Lee,F,34,UKR,GER,2012,Summer,Beijing,Rowing,Marathon,Gold
215,Carlos Gomez,F,30,CAN,BRA,2004,Summer,Tokyo,Rowing,100m freestyle,Gold
216,John Doe,M,23,CAN,CAN,2012,Summer,Beijing,Swimming,Lightweight Boxing,Silver
217,Tom Lee,M,34,UKR,GER,2012,Summer,Tokyo,Cycling,Judo -60kg,Gold
218,Kate Novak,M,31,USA,USA,2016,Summer,London,Judo,Sprint,Gold
219,John Doe,F,34,UKR,USA,2016,Summer,Beijing,Cycling,100m freestyle,Gold
220,John Doe,F,25,GER,UKR,2004,Winter,Rio,Athletics,Judo -60kg,Bronze
221,John Doe,M,28,UKR,CHN,2000,Summer,Beijing,Rowing,100m freestyle,Silver
222,Liu Wei,F,37,CHN,FRA,2020,Summer,Beijing,Judo,Marathon,
223,Kate Novak,F,18,CHN,FRA,2020,Summer,Beijing,Boxing,Lightweight Boxing,Gold
224,John Doe,F,24,BRA,UKR,2012,Summer,London,Athletics,100m freestyle,Silver
225,Carlos Gomez,M,38,CHN,CHN,2000,Summer,Tokyo,Swimming,Lightweight Boxing,Gold
226,Anna Schmidt,F,38,UKR,GER,2004,Summer,Rio,Swimming,Double Sculls,Silver
227,John Doe,F,34,CHN,USA,2004,Summer,Tokyo,Cycling,100m freestyle,Gold
228,Liu Wei,M,27,USA,FRA,2016,Summer,Tokyo,Rowing,Marathon,
229,Tom Lee,M,28,FRA,CAN,2012,Summer,Athens,Cycling,Marathon,
230,Kate Novak,F,39,CHN,CHN,2008,Summer,London,Boxing,Judo -60kg,Silver
231,Liu Wei,F,26,GER,GER,2004,Summer,Athens,Boxing,Marathon,Gold
232,John Doe,M,26,USA,USA,2012,Summer,London,Swimming,Lightweight Boxing,Bronze
233,Kate Novak,M,22,BRA,CAN,2000,Summer,Tokyo,Judo,Double Sculls,
234,Anna Schmidt,F,34,GER,CHN,2016,Summer,Tokyo,Swimming,Marathon,Gold
235,John Doe,F,26,UKR,UKR,2020,Summer,London,Swimming,100m freestyle,Bronze
236,Liu Wei,F,34,FRA,UKR,2000,Summer,Tokyo,Boxing,Marathon,
237,Maria Ivanova,F,38,UKR,UKR,2004,Summer,Tokyo,Cycling,Double Sculls,
238,Carlos Gomez,M,36,FRA,FRA,2004,Summer,Rio,Boxing,Lightweight Boxing,
239,Tom Lee,F,24,FRA,GER,2000,Winter,Athens,Rowing,100m freestyle,
240,Liu Wei,F,26,UKR,UKR,2004,Winter,Athens,Boxing,Judo -60kg,
241,Kate Novak,M,24,GER,FRA,2012,Summer,Athens,Boxing,Judo -60kg,Silver
242,John Doe,F,30,GER,BRA,2004,Summer,Beijing,Swimming,Judo -60kg,Bronze
243,Carlos Gomez,M,28,FRA,FRA,2016,Summer,Rio,Judo,100m freestyle,
244,John Doe,F,31,GER,USA,2012,Summer,Athens,Swimming,Judo -60kg,Bronze
245,Kate Novak,F,36,FRA,FRA,2008,Summer,Athens,Athletics,Marathon,
246,John Doe,M,28,FRA,GER,2004,Summer,Rio,Boxing,100m freestyle,Gold
247,Maria Ivanova,M,30,USA,CAN,2004,Winter,Tokyo,Boxing,100m freestyle,Silver
248,Carlos Gomez,F,31,CAN,FRA,2016,Summer,Athens,Athletics,100m freestyle,Silver
249,Carlos Gomez,F,30,USA,UKR,2016,Summer,Tokyo,Boxing,Sprint,Silver
250,Kate Novak,F,18,UKR,USA,2020,Summer,Athens,Boxing,Lightweight Boxing,Gold
251,Tom Lee,M,25,CAN,CHN,2000,Winter,London,Rowing,Sprint,Bronze
252,Maria Ivanova,F,29,CHN,UKR,2000,Summer,Beijing,Boxing,Sprint,Gold
253,Liu Wei,M,36,UKR,USA,2000,Summer,Athens,Athletics,Sprint,Bronze
254,John Doe,M,29,BRA,BRA,2016,Summer,London,Swimming,Lightweight Boxing,Bronze
255,Anna Schmidt,F,25,USA,CHN,2000,Winter,Rio,Boxing,Sprint,Silver
256,John Doe,M,25,GER,BRA,2000,Summer,London,Judo,Judo -60kg,Silver
257,John Doe,F,38,USA,CAN,2008,Winter,Rio,Athletics,100m freestyle,Bronze
258,Liu Wei,F,30,GER,USA,2000,Summer,Athens,Cycling,100m freestyle,
259,John Doe,F,29,CAN,BRA,2004,Summer,Rio,Rowing,Marathon,
260,Maria Ivanova,F,33,BRA,CAN,2020,Summer,London,Athletics,Double Sculls,
261,Maria Ivanova,F,18,CAN,USA,2016,Summer,Beijing,Swimming,Judo -60kg,
262,Carlos Gomez,M,30,BRA,USA,2012,Summer,Tokyo,Athletics,Lightweight Boxing,Bronze
263,Kate Novak,M,24,USA,BRA,2020,Winter,Tokyo,Cycling,Double Sculls,
264,Tom Lee,F,22,GER,USA,2008,Summer,Beijing,Rowing,100m freestyle,
265,Anna Schmidt,F,25,CAN,UKR,2016,Summer,Tokyo,Judo,Sprint,
266,John Doe,M,31,BRA,USA,2016,Summer,Athens,Cycling,Marathon,Gold
267,John Doe,M,30,FRA,GER,2004,Summer,Athens,Athletics,Marathon,
268,Liu Wei,M,32,UKR,CAN,2020,Summer,London,Cycling,100m freestyle,Silver
269,Kate Novak,M,34,UKR,USA,2020,Summer,London,Athletics,Judo -60kg,
270,Maria Ivanova,F,32,CAN,GER,2000,Summer,Rio,Judo,Double Sculls,Gold
271,Anna Schmidt,F,37,GER,USA,2004,Summer,London,Judo,Marathon,Silver
272,Carlos Gomez,M,35,FRA,USA,2000,Winter,Athens,Swimming,100m freestyle,Silver
273,Maria Ivanova,F,35,CAN,BRA,2000,Summer,London,Judo,Judo -60kg,Silver
274,Kate Novak,M,19,USA,UKR,2016,Winter,Tokyo,Boxing,100m freestyle,Gold
275,Tom Lee,F,21,BRA,CAN,2020,Summer,Rio,Cycling,100m freestyle,
276,Carlos Gomez,M,18,USA,UKR,2000,Summer,Rio,Cycling,Judo -60kg,Gold
277,Tom Lee,F,21,UKR,CHN,2008,Summer,Athens,Athletics,Judo -60kg,Silver
278,Liu Wei,M,35,BRA,BRA,2008,Summer,London,Judo,Judo -60kg,Gold
279,Liu Wei,M,22,CAN,BRA,2020,Winter,Tokyo,Swimming,100m freestyle,Bronze
280,John Doe,F,36,USA,UKR,2008,Summer,London,Swimming,Marathon,Silver
281,Tom Lee,M,32,CHN,FRA,2016,Summer,Beijing,Swimming,Lightweight Boxing,Silver
282,Kate Novak,F,25,GER,BRA,2004,Winter,London,Rowing,Lightweight Boxing,Silver
283,Anna Schmidt,F,37,FRA,UKR,2012,Summer,Athens,Boxing,100m freestyle,Bronze
284,Carlos Gomez,M,34,FRA,BRA,2000,Summer,London,Judo,100m freestyle,Gold
285,Maria Ivanova,F,18,GER,USA,2012,Summer,Rio,Swimming,Marathon,Gold
286,Kate Novak,F,29,CHN,UKR,2004,Winter,Tokyo,Boxing,Judo -60kg,Gold
287,Kate Novak,F,36,UKR,UKR,2004,Summer,Athens,Cycling,100m freestyle,
288,Liu Wei,F,32,BRA,GER,2016,Summer,Beijing,Athletics,Sprint,Silver
289,Tom Lee,F,26,GER,BRA,2008,Summer,Tokyo,Judo,Judo -60kg,Bronze
290,John Doe,M,24,CHN,BRA,2008,Winter,Tokyo,Judo,100m freestyle,Gold
291,John Doe,F,19,CAN,UKR,2004,Summer,Rio,Rowing,Sprint,Silver
292,Carlos Gomez,F,26,FRA,USA,2016,Summer,Rio,Cycling,Double Sculls,Gold
293,Liu Wei,F,27,CHN,USA,2016,Summer,Rio,Judo,Marathon,Gold
294,Kate Novak,F,19,UKR,CAN,2020,Winter,Athens,Rowing,Sprint,Silver
